feature,rf_importance,gbt_importance,avg_importance
favourites_count,0.38276634149116123,0.9347623438632484,0.6587643426772049
avg_tweet_len,0.1788275543804386,0.03309144164645944,0.10595949801344902
statuses_count,0.13006605056920817,0.0029286941663495196,0.06649737236777885
followers_count,0.06425856367902325,0.001907644397301143,0.03308310403816219
avg_mentions,0.04987659978771974,0.009312474885676741,0.02959453733669824
reputation,0.048183703294930866,0.0013708043421509248,0.024777253818540894
friends_count,0.043357395745293244,0.0059502166632539955,0.02465380620427362
avg_urls,0.034300485388959655,0.003570930774824887,0.01893570808189227
geo_enabled,0.029706645524834336,0.0010987028115777952,0.015402674168206065
avg_hashtags,0.02404891098523674,0.004417413468051744,0.014233162226644242
listed_count,0.004835801894278883,0.0005250975903170062,0.002680449742297945
default_profile,0.003918257586171922,0.0001484385860859214,0.0020333480861289216
profile_use_background_image,0.0036640058447187486,0.00018444753692860836,0.0019242266908236784
username_entropy,0.0021803667361590603,0.000731349267773757,0.0014558580019664088
verified,9.286651706565546e-06,0.0,4.643325853282773e-06
protected,3.044015887932208e-08,0.0,1.522007943966104e-08
